date,jersey_number,players,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
25-Feb-22,4,Mareng Gatkuoth,14,0,0,5,0,0,3,0,0,2,0,0,0,0,0,2,2,1,0,0,1,0,-2,-3,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,6,Chudier James Bile,12,6,1,7,14.3,0,3,0,1,4,25,3,6,50,1,2,3,1,1,0,3,0,4,-1,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,8,Kuany Ngor Kuany,30,18,7,10,70,4,5,80,3,5,60,1,1,100,0,2,2,3,1,0,1,2,10,20,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,9,Mathiang Mauot Muo,13,5,2,5,40,1,3,33.3,1,2,50,0,0,0,2,1,3,0,0,0,0,0,1,5,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,10,Padiet Wang,20,8,4,7,57.1,4,5,80,0,2,0,0,0,0,2,1,3,1,0,1,0,2,14,10,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,12,Deng Acuoth,32,8,4,8,50,4,7,57.1,0,1,0,0,0,0,2,5,7,1,1,1,0,1,8,14,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,14,Dut Jok Kacuol,20,11,4,8,50,1,3,33.3,3,5,60,0,0,0,0,0,0,0,1,0,2,3,-2,6,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,15,Chol Beny Chuar Marial,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-5,1,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,20,Anyiarbany Makoi,27,4,1,2,50,1,2,50,0,0,0,2,2,100,0,5,5,4,1,0,6,0,11,7,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-22,21,Koch Deng Aguer Bar,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,9,2,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-23,1,Nuni Omot,20,11,2,7,28.6,1,1,100,1,6,16.7,6,6,100,0,1,1,1,1,0,1,1,15,8,Congo DR,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,FALSE
25-Feb-23,4,Mareng Gatkuoth,23,3,1,6,16.7,0,0,0,1,6,16.7,0,0,0,0,4,4,0,2,0,4,3,15,0,Congo DR,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,FALSE
